epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.42585,1.73991,3.95327,1.32186,0.01143,0.67143,0.01138,0.00446,1.13564,3.55176,1.19906,0.000652778,0.000652778,0.000652778
2,4.28626,1.75302,3.6796,1.35659,0.0711,0.77143,0.2684,0.09147,2.1467,2.74661,1.89525,0.00130757,0.00130757,0.00130757
3,6.17617,2.16667,2.90322,1.52873,0.0711,0.77143,0.2684,0.09147,2.1467,2.74661,1.89525,0.00195036,0.00195036,0.00195036
4,8.0558,2.21132,3.07676,1.62109,0.25758,0.60965,0.34909,0.10461,2.23156,15.9281,2.07198,0.001946,0.001946,0.001946
5,9.94434,2.01155,3.09461,1.50933,0.00492,1,0.02706,0.01211,1.8028,3.65616,1.51977,0.001928,0.001928,0.001928
6,11.8248,1.59591,3.18155,1.26846,0.5691,0.4,0.44725,0.13992,1.90492,2.61236,1.3804,0.00191,0.00191,0.00191
7,13.706,1.74223,2.68199,1.35774,0.5691,0.4,0.44725,0.13992,1.90492,2.61236,1.3804,0.001892,0.001892,0.001892
8,15.601,1.40658,2.22836,1.23246,0.57657,0.78571,0.73451,0.47234,1.27178,1.66758,1.33341,0.001874,0.001874,0.001874
9,17.499,1.33096,2.31222,1.23026,0.58151,0.77143,0.7446,0.51341,1.18646,1.45076,1.18887,0.001856,0.001856,0.001856
10,19.3875,1.36223,2.19796,1.21196,0.84218,0.68612,0.84391,0.54815,1.22564,1.50961,1.18482,0.001838,0.001838,0.001838
11,21.2405,1.27498,2.14971,1.09357,0.84218,0.68612,0.84391,0.54815,1.22564,1.50961,1.18482,0.00182,0.00182,0.00182
12,23.104,1.13995,1.757,1.00239,0.87955,0.95714,0.96,0.60624,1.12535,1.13217,1.13564,0.001802,0.001802,0.001802
13,24.994,1.18335,1.44281,1.06504,0.93902,0.92857,0.97907,0.74159,0.97178,0.96136,1.09153,0.001784,0.001784,0.001784
14,26.8703,1.14212,1.56536,1.07661,0.99222,0.98571,0.9883,0.72666,1.00136,0.92856,1.08595,0.001766,0.001766,0.001766
15,28.9342,1.19475,1.35969,1.11529,0.99222,0.98571,0.9883,0.72666,1.00136,0.92856,1.08595,0.001748,0.001748,0.001748
16,30.7959,1.12216,1.41197,1.03941,0.9621,0.98571,0.98517,0.69518,0.98276,0.93254,1.05896,0.00173,0.00173,0.00173
17,32.6739,1.094,1.21671,1.04589,0.94839,0.97143,0.98707,0.77136,0.92392,0.87176,1.05367,0.001712,0.001712,0.001712
18,34.578,1.09784,1.20527,1.10446,0.99769,0.97143,0.99393,0.74087,0.97774,0.82568,1.07874,0.001694,0.001694,0.001694
19,36.467,1.09941,1.09684,1.12569,0.99769,0.97143,0.99393,0.74087,0.97774,0.82568,1.07874,0.001676,0.001676,0.001676
20,38.3494,1.23077,1.36648,1.12331,0.98594,0.97143,0.99445,0.74422,1.00582,1.11571,1.11865,0.001658,0.001658,0.001658
21,40.2222,1.0488,1.30008,1.03292,0.99752,0.97143,0.99392,0.76899,0.96298,0.85182,1.12188,0.00164,0.00164,0.00164
22,42.0984,1.02361,1.3154,1.10488,1,0.97121,0.99045,0.76183,0.90684,0.92852,1.06055,0.001622,0.001622,0.001622
