epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,43.9634,0.99172,1.28367,1.10414,1,0.97121,0.99045,0.76183,0.90684,0.92852,1.06055,0.001604,0.001604,0.001604
24,45.8573,1.08779,1.03896,1.10885,1,0.98428,0.99386,0.76337,0.94031,0.78738,1.07224,0.001586,0.001586,0.001586
25,47.7316,1.00519,1.1859,1.005,0.99907,0.98571,0.9894,0.7787,0.89552,0.82051,1.04954,0.001568,0.001568,0.001568
26,49.6339,0.97891,1.16955,1.02342,0.99932,0.98571,0.99354,0.80442,0.86135,0.78945,1.04035,0.00155,0.00155,0.00155
27,51.5184,0.97055,1.00004,1.01821,0.99932,0.98571,0.99354,0.80442,0.86135,0.78945,1.04035,0.001532,0.001532,0.001532
28,53.4197,0.99996,0.93136,1.04292,0.99687,0.98571,0.99409,0.78334,0.82391,0.69274,0.99643,0.001514,0.001514,0.001514
29,55.285,0.87259,1.00769,0.97189,0.99555,0.98571,0.99409,0.78628,0.80554,0.65542,0.98038,0.001496,0.001496,0.001496
30,57.177,0.94303,0.86443,1.04371,0.99679,0.98571,0.99421,0.81182,0.80353,0.6834,0.98398,0.001478,0.001478,0.001478
31,59.0992,0.88352,0.98669,0.96347,0.99679,0.98571,0.99421,0.81182,0.80353,0.6834,0.98398,0.00146,0.00146,0.00146
32,61.196,0.87026,0.91293,1.00675,0.9971,0.98571,0.99375,0.77337,0.84347,0.6731,0.99665,0.001442,0.001442,0.001442
33,63.0552,0.92657,0.99597,0.96851,0.99659,0.98571,0.99397,0.77103,0.85848,0.64795,1.00021,0.001424,0.001424,0.001424
34,64.9354,0.97841,1.09196,1.04006,0.99771,0.98571,0.99446,0.79418,0.8509,0.7021,1.00284,0.001406,0.001406,0.001406
35,66.814,0.9595,1.02565,1.00768,0.99771,0.98571,0.99446,0.79418,0.8509,0.7021,1.00284,0.001388,0.001388,0.001388
36,68.6907,0.90214,1.01994,0.95318,0.9951,0.98571,0.99472,0.79578,0.84449,0.75852,0.99913,0.00137,0.00137,0.00137
37,70.5681,0.91739,1.11083,1.01646,0.99555,0.98571,0.98929,0.7875,0.82524,0.72775,0.98168,0.001352,0.001352,0.001352
38,72.4369,0.82886,0.94999,0.90619,0.99943,0.98571,0.99343,0.80188,0.81997,0.64147,0.98519,0.001334,0.001334,0.001334
39,74.3135,0.91093,0.88405,1.01023,0.99943,0.98571,0.99343,0.80188,0.81997,0.64147,0.98519,0.001316,0.001316,0.001316
40,76.1916,0.88231,0.88783,0.94713,0.9986,0.98571,0.9906,0.80322,0.79013,0.63855,0.98194,0.001298,0.001298,0.001298
41,78.095,0.8775,0.83014,1.00603,0.99784,0.98571,0.98556,0.78449,0.79477,0.61521,0.96965,0.00128,0.00128,0.00128
42,79.9762,0.8744,0.82152,0.96443,0.9981,0.98571,0.99354,0.77191,0.88702,0.61629,1.00296,0.001262,0.001262,0.001262
43,81.8606,0.93731,0.91543,1.0379,0.9981,0.98571,0.99354,0.77191,0.88702,0.61629,1.00296,0.001244,0.001244,0.001244
44,83.7515,0.91062,0.82765,1.05002,0.9985,0.98571,0.99261,0.79248,0.82784,0.60169,0.97418,0.001226,0.001226,0.001226
45,85.6323,0.87182,0.86915,0.94635,0.9985,0.98571,0.98555,0.79179,0.76869,0.58628,0.96276,0.001208,0.001208,0.001208
46,87.7295,0.84603,0.81786,0.98064,0.99874,0.98571,0.98641,0.80139,0.75929,0.5933,0.9563,0.00119,0.00119,0.00119
47,89.6247,0.80739,0.74466,0.97623,0.99874,0.98571,0.98641,0.80139,0.75929,0.5933,0.9563,0.001172,0.001172,0.001172
48,91.5336,0.90992,0.74393,0.99877,0.99859,0.98571,0.98652,0.79758,0.77477,0.59264,0.95624,0.001154,0.001154,0.001154
49,93.3987,0.78474,0.91591,0.89767,0.99838,0.98571,0.98847,0.79331,0.77831,0.60534,0.9613,0.001136,0.001136,0.001136
50,95.2837,0.88184,0.74825,0.97559,0.99652,0.98571,0.99186,0.80025,0.77783,0.60524,0.9584,0.001118,0.001118,0.001118
51,97.1461,0.8471,0.73444,0.92404,0.99652,0.98571,0.99186,0.80025,0.77783,0.60524,0.9584,0.0011,0.0011,0.0011
52,99.0273,0.83591,0.81575,0.95801,0.99826,0.98571,0.9897,0.80211,0.76445,0.58349,0.95455,0.001082,0.001082,0.001082
53,100.894,0.82671,0.77678,0.90876,0.99927,0.98571,0.99459,0.81802,0.76792,0.5517,0.95449,0.001064,0.001064,0.001064
54,102.818,0.81534,0.76802,0.96911,0.99914,0.98571,0.99472,0.81798,0.76539,0.52125,0.95582,0.001046,0.001046,0.001046
55,104.694,0.83181,0.7303,0.89776,0.99914,0.98571,0.99472,0.81798,0.76539,0.52125,0.95582,0.001028,0.001028,0.001028
56,106.56,0.91304,0.83615,1.00465,0.99881,0.98571,0.99472,0.81141,0.79819,0.53121,0.9754,0.00101,0.00101,0.00101
57,108.448,0.79631,0.66706,0.96618,0.99916,1,0.995,0.81811,0.77267,0.53868,0.95454,0.000992,0.000992,0.000992
58,110.352,0.85117,0.77638,1.03796,1,0.99905,0.995,0.81811,0.783,0.589,0.97988,0.000974,0.000974,0.000974
59,112.226,0.84013,0.76327,0.95988,1,0.99905,0.995,0.81811,0.783,0.589,0.97988,0.000956,0.000956,0.000956
60,114.132,0.85888,0.76172,0.93561,0.99862,0.98571,0.99472,0.81168,0.7966,0.61823,1.00501,0.000938,0.000938,0.000938
61,116.017,0.83192,0.80898,0.96395,0.99881,0.98571,0.99472,0.81282,0.76408,0.5705,0.96896,0.00092,0.00092,0.00092
62,118.066,0.7679,0.95476,0.89688,1,0.99761,0.995,0.8239,0.72719,0.5942,0.94195,0.000902,0.000902,0.000902
63,119.989,0.78759,0.67639,0.95291,1,0.99761,0.995,0.8239,0.72719,0.5942,0.94195,0.000884,0.000884,0.000884
64,121.866,0.74909,0.72873,0.92281,1,0.99873,0.995,0.82498,0.72477,0.53258,0.94021,0.000866,0.000866,0.000866
65,123.756,0.79717,0.68812,0.94456,1,0.99914,0.995,0.82264,0.71099,0.50581,0.93389,0.000848,0.000848,0.000848
66,125.673,0.79574,0.76115,0.95138,1,0.9993,0.995,0.81136,0.75652,0.52246,0.95549,0.00083,0.00083,0.00083
67,127.535,0.77745,0.81102,0.89456,1,0.9993,0.995,0.81136,0.75652,0.52246,0.95549,0.000812,0.000812,0.000812
68,129.421,0.8777,0.77701,1.00151,1,0.99911,0.995,0.80063,0.78306,0.50805,0.97506,0.000794,0.000794,0.000794
69,131.315,0.92269,0.77909,1.0352,1,0.99984,0.995,0.81655,0.77499,0.5038,0.96574,0.000776,0.000776,0.000776
70,133.203,0.78835,0.69841,0.95988,1,0.99987,0.995,0.8223,0.74153,0.50118,0.94455,0.000758,0.000758,0.000758
71,135.07,0.79287,0.70797,0.95236,1,0.99987,0.995,0.8223,0.74153,0.50118,0.94455,0.00074,0.00074,0.00074
72,136.939,0.80578,0.65267,0.94181,0.99884,0.98571,0.99472,0.82089,0.7327,0.50396,0.93976,0.000722,0.000722,0.000722
73,138.844,0.81199,0.67188,0.96902,0.99866,0.98571,0.99459,0.80853,0.7403,0.50953,0.93645,0.000704,0.000704,0.000704
74,140.74,0.81712,0.63513,0.99523,0.99808,0.98571,0.99459,0.80393,0.75631,0.51403,0.94061,0.000686,0.000686,0.000686
75,142.63,0.84319,0.74202,0.99305,0.99808,0.98571,0.99459,0.80393,0.75631,0.51403,0.94061,0.000668,0.000668,0.000668
76,144.526,0.80932,0.67791,0.96841,0.99849,0.98571,0.99459,0.81549,0.75801,0.49904,0.94171,0.00065,0.00065,0.00065
77,146.592,0.77434,0.60282,0.942,0.99872,0.98571,0.99433,0.81351,0.75924,0.50261,0.94449,0.000632,0.000632,0.000632
78,148.476,0.75932,0.65088,0.93687,0.9987,0.98571,0.99446,0.8178,0.75379,0.5086,0.94545,0.000614,0.000614,0.000614
79,150.34,0.80212,0.70621,0.94574,0.9987,0.98571,0.99446,0.8178,0.75379,0.5086,0.94545,0.000596,0.000596,0.000596
80,152.215,0.75955,0.6777,0.96257,0.99863,0.98571,0.99459,0.8153,0.74554,0.48953,0.94137,0.000578,0.000578,0.000578
81,154.082,0.80375,0.74202,0.94889,1,0.99839,0.995,0.81276,0.73884,0.50058,0.93972,0.00056,0.00056,0.00056
82,155.966,0.80323,0.69623,0.99814,1,0.99857,0.995,0.81519,0.74014,0.51046,0.93783,0.000542,0.000542,0.000542
83,157.818,0.75176,0.66829,0.92397,1,0.99857,0.995,0.81519,0.74014,0.51046,0.93783,0.000524,0.000524,0.000524
84,159.702,0.78935,0.63773,0.95127,1,0.99855,0.995,0.82374,0.72114,0.50727,0.92982,0.000506,0.000506,0.000506
85,161.584,0.70715,0.62362,0.94376,1,0.99975,0.995,0.82254,0.71496,0.47197,0.92565,0.000488,0.000488,0.000488
86,163.452,0.85017,0.69618,0.94569,1,0.99903,0.995,0.82439,0.72897,0.45921,0.93232,0.00047,0.00047,0.00047
87,165.349,0.84301,0.59887,0.9914,1,0.99903,0.995,0.82439,0.72897,0.45921,0.93232,0.000452,0.000452,0.000452
88,167.258,0.85487,0.58044,0.95863,0.99884,0.98571,0.99472,0.81413,0.73349,0.45412,0.93761,0.000434,0.000434,0.000434
89,169.148,0.9134,0.68046,1.00607,0.99837,0.98571,0.99472,0.81017,0.7214,0.45303,0.93166,0.000416,0.000416,0.000416
90,171.046,0.80236,0.60393,0.93633,1,0.99864,0.995,0.82868,0.70129,0.44559,0.92113,0.000398,0.000398,0.000398
91,173.122,0.71356,0.62344,0.88818,1,0.99864,0.995,0.82868,0.70129,0.44559,0.92113,0.00038,0.00038,0.00038
92,175.041,0.79303,0.60581,0.97387,0.99878,0.98571,0.99472,0.83138,0.70108,0.46178,0.9194,0.000362,0.000362,0.000362
93,176.926,0.71837,0.59181,0.88986,1,0.99959,0.995,0.81935,0.70106,0.46836,0.92074,0.000344,0.000344,0.000344
94,178.844,0.77302,0.59547,0.93865,1,0.99929,0.995,0.82835,0.70024,0.469,0.92133,0.000326,0.000326,0.000326
95,180.714,0.79602,0.58534,0.94694,1,0.99929,0.995,0.82835,0.70024,0.469,0.92133,0.000308,0.000308,0.000308
96,182.613,0.75347,0.5586,0.93109,1,0.99926,0.995,0.81842,0.71316,0.44787,0.92508,0.00029,0.00029,0.00029
97,184.486,0.77618,0.61485,0.92476,1,0.99876,0.995,0.8207,0.71565,0.44233,0.92309,0.000272,0.000272,0.000272
98,186.373,0.786,0.5814,0.9853,1,0.99901,0.995,0.8204,0.70518,0.43226,0.91944,0.000254,0.000254,0.000254
99,188.243,0.76273,0.52705,0.92595,1,0.99901,0.995,0.8204,0.70518,0.43226,0.91944,0.000236,0.000236,0.000236
100,190.124,0.68348,0.67474,0.92808,1,0.99901,0.995,0.82501,0.69272,0.43235,0.91491,0.000218,0.000218,0.000218
101,192.151,0.72443,0.63205,0.94139,1,0.99913,0.995,0.82212,0.69261,0.43447,0.91266,0.0002,0.0002,0.0002
102,194.053,0.76037,0.62264,0.97417,1,0.9991,0.995,0.82588,0.69338,0.44591,0.91207,0.000182,0.000182,0.000182
103,195.939,0.73907,0.60626,0.91599,1,0.9991,0.995,0.82588,0.69338,0.44591,0.91207,0.000164,0.000164,0.000164
104,197.836,0.74544,0.58427,0.93551,1,0.99909,0.995,0.83166,0.69169,0.44521,0.91161,0.000146,0.000146,0.000146
105,199.745,0.73524,0.62176,0.97222,1,0.99952,0.995,0.83348,0.71103,0.46556,0.91689,0.000128,0.000128,0.000128
106,201.64,0.69145,0.55678,0.9192,1,0.99831,0.995,0.82398,0.71729,0.47542,0.91955,0.00011,0.00011,0.00011
107,203.739,0.76059,0.62565,0.95914,1,0.99831,0.995,0.82398,0.71729,0.47542,0.91955,9.2e-05,9.2e-05,9.2e-05
108,205.642,0.70987,0.60818,0.93169,1,0.99874,0.995,0.83753,0.70473,0.4766,0.91787,7.4e-05,7.4e-05,7.4e-05
109,207.544,0.76458,0.62414,0.94143,1,0.99839,0.995,0.82807,0.71004,0.48416,0.91987,5.6e-05,5.6e-05,5.6e-05
110,209.444,0.76842,0.62687,0.9539,1,0.99876,0.995,0.83432,0.7089,0.47749,0.91774,3.8e-05,3.8e-05,3.8e-05
