epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,241.815,1.16353,1.24166,0.86967,0.99193,1,0.995,0.72902,1.08124,0.91086,0.88351,0.0017228,0.0017228,0.0017228
44,247.514,1.17172,1.23344,0.87241,0.99193,1,0.995,0.72902,1.08124,0.91086,0.88351,0.0017162,0.0017162,0.0017162
45,253.121,1.26708,1.35358,0.93602,1,0.9562,0.99417,0.7426,1.01181,0.88161,0.83681,0.0017096,0.0017096,0.0017096
46,258.505,1.28587,1.24577,0.94776,0.97821,0.95542,0.99375,0.73843,0.98335,0.90723,0.81547,0.001703,0.001703,0.001703
47,264.151,1.06444,1.34989,0.8621,0.97821,0.95542,0.99375,0.73843,0.98335,0.90723,0.81547,0.0016964,0.0016964,0.0016964
48,269.624,0.99481,1.47229,0.7423,1,0.99873,0.995,0.75906,0.90952,0.84592,0.80974,0.0016898,0.0016898,0.0016898
49,275.216,1.14763,1.15141,0.91953,1,0.99873,0.995,0.75906,0.90952,0.84592,0.80974,0.0016832,0.0016832,0.0016832
50,280.868,1.11126,1.38039,0.83968,0.96935,0.97872,0.97337,0.75281,0.86523,0.88645,0.81792,0.0016766,0.0016766,0.0016766
51,286.541,1.15782,1.40028,0.83873,0.93388,0.97872,0.97165,0.73167,0.94112,0.96856,0.83734,0.00167,0.00167,0.00167
52,291.872,1.11733,1.1858,0.89427,0.93388,0.97872,0.97165,0.73167,0.94112,0.96856,0.83734,0.0016634,0.0016634,0.0016634
53,297.449,1.04883,1.16063,0.91103,0.91852,1,0.9516,0.71884,0.96591,1.0101,0.87068,0.0016568,0.0016568,0.0016568
54,303.048,1.11937,1.20857,0.87837,0.91852,1,0.9516,0.71884,0.96591,1.0101,0.87068,0.0016502,0.0016502,0.0016502
55,308.858,1.14175,1.11707,0.91729,0.91789,0.95144,0.94712,0.69836,0.96517,0.95616,0.88144,0.0016436,0.0016436,0.0016436
56,314.448,1.01554,1.26271,0.81023,0.91789,0.95144,0.94712,0.69836,0.96517,0.95616,0.88144,0.001637,0.001637,0.001637
57,319.958,1.19552,1.14231,0.95743,0.90847,1,0.94577,0.70808,0.98062,0.9666,0.88218,0.0016304,0.0016304,0.0016304
58,325.574,1.1853,1.24273,0.95183,0.86988,0.99572,0.94475,0.70473,0.93265,0.99371,0.87451,0.0016238,0.0016238,0.0016238
59,331.343,1.04597,1.12032,0.85248,0.86988,0.99572,0.94475,0.70473,0.93265,0.99371,0.87451,0.0016172,0.0016172,0.0016172
60,336.869,1.04468,1.16697,0.91072,0.87924,0.92958,0.92317,0.64779,0.96246,1.06252,0.86987,0.0016106,0.0016106,0.0016106
61,342.503,1.19805,1.25279,0.91851,0.87924,0.92958,0.92317,0.64779,0.96246,1.06252,0.86987,0.001604,0.001604,0.001604
62,348.106,1.08938,1.06915,0.86198,0.831,0.95745,0.90514,0.68984,0.88683,1.02468,0.85777,0.0015974,0.0015974,0.0015974
63,353.773,1.2062,1.13946,0.88454,0.831,0.95745,0.90514,0.68984,0.88683,1.02468,0.85777,0.0015908,0.0015908,0.0015908
64,359.521,0.92415,1.12463,0.8115,0.88991,0.95745,0.92876,0.71163,0.858,1.03668,0.84451,0.0015842,0.0015842,0.0015842
65,365.178,1.11445,1.04281,0.87153,0.93611,0.93525,0.94058,0.71548,0.92022,0.95052,0.85231,0.0015776,0.0015776,0.0015776
66,370.951,1.12176,1.10553,0.88376,0.93611,0.93525,0.94058,0.71548,0.92022,0.95052,0.85231,0.001571,0.001571,0.001571
67,376.557,0.89724,1.00165,0.84545,0.95722,0.95217,0.95345,0.72391,0.88983,0.88125,0.8369,0.0015644,0.0015644,0.0015644
68,382.296,0.94374,1.06687,0.87231,0.95722,0.95217,0.95345,0.72391,0.88983,0.88125,0.8369,0.0015578,0.0015578,0.0015578
69,387.811,1.05362,1.09779,0.87783,0.87388,1,0.90714,0.69727,0.86026,0.98736,0.83929,0.0015512,0.0015512,0.0015512
70,393.319,0.95473,0.96457,0.88107,0.85409,1,0.89817,0.69215,0.83975,0.94678,0.84505,0.0015446,0.0015446,0.0015446
71,398.96,0.99013,1.00527,0.8516,0.85409,1,0.89817,0.69215,0.83975,0.94678,0.84505,0.001538,0.001538,0.001538
72,404.795,1.06184,1.00783,0.86132,0.89781,1,0.92173,0.6854,0.84707,0.92012,0.83554,0.0015314,0.0015314,0.0015314
73,410.523,0.97388,1.09215,0.842,0.89781,1,0.92173,0.6854,0.84707,0.92012,0.83554,0.0015248,0.0015248,0.0015248
74,416.182,1.00288,1.11632,0.84889,0.92104,0.99279,0.9501,0.71535,0.86609,0.95083,0.84829,0.0015182,0.0015182,0.0015182
75,421.666,0.98753,1.03751,0.8444,0.92104,0.99279,0.9501,0.71535,0.86609,0.95083,0.84829,0.0015116,0.0015116,0.0015116
76,426.982,0.91649,1.00158,0.86351,0.92153,0.99948,0.97321,0.7467,0.8577,1.14095,0.84465,0.001505,0.001505,0.001505
77,432.693,1.03295,0.93002,0.8701,0.95141,0.97872,0.99258,0.73792,0.85238,0.94987,0.82958,0.0014984,0.0014984,0.0014984
78,438.375,1.03375,1.04509,0.84352,0.95141,0.97872,0.99258,0.73792,0.85238,0.94987,0.82958,0.0014918,0.0014918,0.0014918
79,443.935,0.95445,1.01343,0.7859,0.93695,1,0.99255,0.72643,0.90364,0.79143,0.82666,0.0014852,0.0014852,0.0014852
80,449.544,1.03495,1.08148,0.87545,0.93695,1,0.99255,0.72643,0.90364,0.79143,0.82666,0.0014786,0.0014786,0.0014786
81,454.997,0.96139,0.84326,0.86704,0.99067,1,0.995,0.75232,0.86147,0.71453,0.82681,0.001472,0.001472,0.001472
82,460.672,0.92625,0.88295,0.82206,0.99067,1,0.995,0.75232,0.86147,0.71453,0.82681,0.0014654,0.0014654,0.0014654
83,466.251,1.02692,0.95247,0.83634,0.99415,1,0.995,0.80521,0.76887,0.69676,0.81078,0.0014588,0.0014588,0.0014588
84,471.89,1.03151,0.97104,0.86243,0.99582,1,0.995,0.80164,0.76725,0.69223,0.80435,0.0014522,0.0014522,0.0014522
85,477.438,0.96257,0.89941,0.87204,0.99582,1,0.995,0.80164,0.76725,0.69223,0.80435,0.0014456,0.0014456,0.0014456
86,483.058,0.99869,0.91808,0.8561,0.99034,1,0.995,0.81223,0.76398,0.73125,0.80667,0.001439,0.001439,0.001439
87,488.701,0.95359,0.89823,0.8529,0.99034,1,0.995,0.81223,0.76398,0.73125,0.80667,0.0014324,0.0014324,0.0014324
88,494.459,1.0128,0.97821,0.83611,0.97287,1,0.99417,0.79393,0.8419,0.7358,0.81389,0.0014258,0.0014258,0.0014258
89,500.117,0.98387,0.89417,0.84121,0.99414,1,0.995,0.75808,0.86001,0.72328,0.8147,0.0014192,0.0014192,0.0014192
90,505.636,0.95438,0.90978,0.9235,0.99414,1,0.995,0.75808,0.86001,0.72328,0.8147,0.0014126,0.0014126,0.0014126
91,511.11,0.95177,0.86093,0.88487,0.99467,1,0.995,0.77075,0.80757,0.69589,0.80509,0.001406,0.001406,0.001406
